NAMESPACE,TAG,SKIP,TIMESTAMP,PASS,WORKFLOW iD,# of jobs,status,#event/job,#files,success fraction,total # of events,volume (GB),comments,DUNESW,NFILES,SIZE_GB,BATCH,FCL,CONFIG,CAMPAIGN,DATASET
fardet-hd,caf_102005d01_v1,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,10000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,20000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,30000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,40000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,50000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,60000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,70000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,80000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,90000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,100000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,110000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,120000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,130000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102005d01_v1,140000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144090,178897.086,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_05d01__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,10000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,20000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,30000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,40000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,50000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
fardet-hd,caf_102006_v1,60000,,pass1,,,,,,0.0,0,0.0,?,v10_20_09d01,144458,179443.845,10000,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.fcl,cafmaker_atmos_dune10kt_1x2x6_runreco-nuenergy-nuangular_geov5.yaml,fdhd_he_2026a_caf,fardet-hd:fardet-hd__fdhd_he_2026a_reco2__full-reconstructed__v10_20_06__reco2_atmos_dune10kt_1x2x6_geov5_reprocess__prodgenie_atmnu_max_weighted_randompolicy_dune10kt_1x2x6__out1__v1_official 
